e1 gin gout
0.48000636 1.15367241 0.03968332
0.48000454 1.15361712 0.03970022
0.48000196 1.15568132 0.03971612
0.48000214 1.15845040 0.03973145
0.48000183 1.16217329 0.03974523
0.48000137 1.15807569 0.03974356
0.48000080 1.16058612 0.03972445
0.48000266 1.15591010 0.03972330
0.48000248 1.15559469 0.03972263
0.48000125 1.16310608 0.03977033
0.48000084 1.16087016 0.03975556
0.48000216 1.16193164 0.03976036
0.48000021 1.16313436 0.03974441
0.48000079 1.16346709 0.03976660
0.48000090 1.16273292 0.03976218
0.48000242 1.16103898 0.03974466
0.48000445 1.15988613 0.03971663
0.48000183 1.15591490 0.03971853
0.48000377 1.16114943 0.03977690
0.48000449 1.16510011 0.03978065
0.48000507 1.16525907 0.03974875
0.48000336 1.16511640 0.03976094
0.48000250 1.16477139 0.03975959
0.48000299 1.15859260 0.03975616
0.48000311 1.15732757 0.03974327
0.48000279 1.15973786 0.03973036
0.48000050 1.15935905 0.03975787
0.48000336 1.15876412 0.03973636
0.48000231 1.15987146 0.03973006
0.48000355 1.15839439 0.03974083
0.48000441 1.16226083 0.03974201
0.48000401 1.15890033 0.03973975
0.48001064 1.15850373 0.03973143
0.48000777 1.16127263 0.03974409
0.48000629 1.16020496 0.03972366
0.48000776 1.16301575 0.03976087
0.48000629 1.16485038 0.03978572
0.48000476 1.16614980 0.03979591
0.48000758 1.16420420 0.03977583
0.48000406 1.16289039 0.03973888
0.48000593 1.15790967 0.03972715
0.48000714 1.15674232 0.03970724
0.48000978 1.15552194 0.03969910
0.48001227 1.15685330 0.03972235
0.48000482 1.15610367 0.03972027
0.48000382 1.15944432 0.03971940
0.48000555 1.15759323 0.03970468
0.48000566 1.15758044 0.03969964
0.48000520 1.15494917 0.03970888
0.48000577 1.15567985 0.03970161
0.48000438 1.15592262 0.03971822
0.48000034 1.15583529 0.03971718
0.48000332 1.15613519 0.03972244
0.48000498 1.15551407 0.03971582
0.48000623 1.15621966 0.03971729
0.48000267 1.15986847 0.03975549
0.48000101 1.16490800 0.03977206
0.48000527 1.16174458 0.03974068
0.48000784 1.16064854 0.03974419
0.48000629 1.16104606 0.03976527
0.48000634 1.16374395 0.03978265
0.48000271 1.16497790 0.03975116
0.48000038 1.16201617 0.03975089
0.48000303 1.16156116 0.03974719
0.48000373 1.16141560 0.03974630
0.48000208 1.16160560 0.03974604
