"x","y","quant"
99254274.5636515,5.58656261258554e-09,"4"
99284763.9413079,5.14469195016695e-09,"4"
99315253.3189643,4.72854832046102e-09,"4"
99345742.6966207,4.34159472505882e-09,"4"
99376232.0742771,3.98404883422816e-09,"4"
99406721.4519335,3.65013280178175e-09,"4"
99437210.8295899,3.33928953137822e-09,"4"
99467700.2072463,3.05095006330298e-09,"4"
99498189.5849027,2.79009925172438e-09,"4"
99528678.9625591,2.55200635285263e-09,"4"
99559168.3402154,2.33386322686768e-09,"4"
99589657.7178718,2.13502629214032e-09,"4"
99620147.0955282,1.9549812192224e-09,"4"
99650636.4731846,1.79889676749433e-09,"4"
99681125.850841,1.65935419848332e-09,"4"
99711615.2284974,1.53567733171827e-09,"4"
99742104.6061538,1.42718896073924e-09,"4"
99772593.9838102,1.33474969086403e-09,"4"
99803083.3614666,1.25899600829856e-09,"4"
99833572.739123,1.19560330910723e-09,"4"
99864062.1167794,1.14389820921367e-09,"4"
99894551.4944358,1.10320919411562e-09,"4"
99925040.8720922,1.07489282236588e-09,"4"
99955530.2497485,1.0569604310156e-09,"4"
99986019.6274049,1.04728600057621e-09,"4"
100016509.005061,1.04522078995442e-09,"4"
100046998.382718,1.05011957393986e-09,"4"
100077487.760374,1.06299845684952e-09,"4"
100107977.13803,1.08106825157898e-09,"4"
100138466.515687,1.10349075408659e-09,"4"
100168955.893343,1.12966071741686e-09,"4"
100199445.271,1.15913070459405e-09,"4"
100229934.648656,1.1914136014796e-09,"4"
100260424.026312,1.22503868781133e-09,"4"
100290913.403969,1.25946992111317e-09,"4"
100321402.781625,1.29418281624467e-09,"4"
100351892.159282,1.32846571453297e-09,"4"
100382381.536938,1.36142423457048e-09,"4"
100412870.914594,1.39270644746421e-09,"4"
100443360.292251,1.42190943125331e-09,"4"
100473849.669907,1.4486482934312e-09,"4"
100504339.047564,1.47157407633529e-09,"4"
100534828.42522,1.49078168420507e-09,"4"
100565317.802876,1.5062837869208e-09,"4"
100595807.180533,1.5178693271474e-09,"4"
100626296.558189,1.52524403691458e-09,"4"
100656785.935846,1.52681754982775e-09,"4"
100687275.313502,1.52396618427587e-09,"4"
100717764.691158,1.51667268650777e-09,"4"
100748254.068815,1.50494253884739e-09,"4"
100778743.446471,1.48824203162371e-09,"4"
100809232.824128,1.46629277587018e-09,"4"
100839722.201784,1.44029063549162e-09,"4"
100870211.57944,1.41040810500301e-09,"4"
100900700.957097,1.37683411437013e-09,"4"
100931190.334753,1.33905471764878e-09,"4"
100961679.712409,1.29789279124633e-09,"4"
100992169.090066,1.2540614190764e-09,"4"
101022658.467722,1.20784208244201e-09,"4"
101053147.845379,1.15952267881589e-09,"4"
101083637.223035,1.10899212042789e-09,"4"
101114126.600691,1.05727031992076e-09,"4"
101144615.978348,1.00468495061135e-09,"4"
101175105.356004,9.51524707241634e-10,"4"
101205594.733661,8.98089280114811e-10,"4"
101236084.111317,8.44871133053849e-10,"4"
101266573.488973,7.92178272147138e-10,"4"
101297062.86663,7.40235519516583e-10,"4"
101327552.244286,6.89256857530068e-10,"4"
